gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
-1.020204061220407,-0.5078007830046403,-0.9530986027504631,-1.022247413814838,0.6712720792553355,-0.9841259761879441,1.0450120617509737,0.47425036072359855,0.12156442163861374,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.9801960588196068,-0.5078007830046403,-0.9530986027504631,0.9782367619480544,0.47677093350949395,1.016130072974544,1.0450120617509737,0.13506958580213405,1.2358803484646457,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-1.020204061220407,-0.5078007830046403,-0.9530986027504631,0.9782367619480544,-1.614116383258302,1.016130072974544,-0.9569267538639185,0.8124498601235688,-1.6180812832664826,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-1.020204061220407,1.9692762072618977,-0.9530986027504631,0.9782367619480544,-1.4682405239489211,1.016130072974544,1.0450120617509737,-0.5798645688599795,1.3779589744569318,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
-1.020204061220407,-0.5078007830046403,1.049209386221098,-1.022247413814838,-0.10673250372803053,-0.9841259761879441,1.0450120617509737,-0.19108300229195946,0.5796480479115336,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.9801960588196068,-0.5078007830046403,1.049209386221098,-1.022247413814838,0.5253962199459543,-0.9841259761879441,1.0450120617509737,-1.3959667836923695,0.034039523180363386,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
-1.020204061220407,1.9692762072618977,-0.9530986027504631,-1.022247413814838,1.6924030944210033,1.016130072974544,-0.9569267538639185,-1.4954721140194343,0.43845997097516304,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-1.020204061220407,1.9692762072618977,1.049209386221098,-1.022247413814838,0.3795203606365732,1.016130072974544,-0.9569267538639185,-0.15588349113775893,-0.7375993821429738,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-1.020204061220407,1.9692762072618977,-0.9530986027504631,-1.022247413814838,1.6924030944210033,-0.9841259761879441,-0.9569267538639185,-0.7088597553455087,-0.313476891213278,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.9801960588196068,-0.5078007830046403,1.049209386221098,-1.022247413814838,-0.8847370867113965,1.016130072974544,1.0450120617509737,0.36228345071077767,1.057082119063268,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-1.020204061220407,-0.5078007830046403,-0.9530986027504631,-1.022247413814838,1.25477551649286,1.016130072974544,-0.9569267538639185,-1.5989245074106049,-0.7015245158829113,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
-1.020204061220407,-0.5078007830046403,-0.9530986027504631,0.9782367619480544,0.03914335558135059,1.016130072974544,-0.9569267538639185,-1.3278233637790242,-0.11769067869782364,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-1.020204061220407,1.9692762072618977,1.049209386221098,-1.022247413814838,1.4492766622387014,-0.9841259761879441,1.0450120617509737,1.2309937514199656,-1.724590261090061,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-1.020204061220407,1.9692762072618977,1.049209386221098,0.9782367619480544,1.0602743707470184,-0.9841259761879441,-0.9569267538639185,0.20227159591424806,0.8225639254122377,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
